"ID","trial","word","response"
"zgtrcecvauk4","1","emotional","they have just gotten into a relationship
they have just gotten out of a relationship
they have just watched a sad movie
they have just watched a happy movie
someone has passed away
someone they love has made an amazing accomplishment
a baby was born
they have just seen a puppy
they have just seen a kitten (less emotional than the puppy)
they witness someone perform a good deed
they help someone in need
they see a couple in love
their significant other says something sweet"
"hjr8vpd7fapz","1","accomplished","Just finished a long homework set or essay
Finished an intense work out
Got accepted into college
Got a job
Finished an exam
Learned something new
Cheered someone up"
"xbnmcc5pxceu","1","busy","They accepted a lot of responsibilities
Their job just increased their workload
They have just had a baby
They are juggling too many activities in their schedule
They don't take enough time to sleep or be still
They are very inefficient in their work so it takes forever
They have a lot of tests to study for in school
"
"3kofmh9dg9xx","1","accomplished","they did well on a test
they did well on an interview
they received an award
they completed their thesis
they got a job offer
they graduated
they climbed a mountain
they did well in a competition
they "
"f8jryrdfkdx2","1","alive","overcome their fear
did something scary
feel really happy
did something they have never done before
fell in love
felt love
went bungee jumping
crossed something off their bucket list
had near death experience
saw someone else die
contemplated space and self awareness
did drugs and saw colors? (I have heard ""I have never felt so alive"" in movies after doing drugs in movies)"
"nbd4iho7n72m","1","depressed","A family member or friend has died
They have failed all of their exams and cannot go to e.g: medical school
They have no friends and/or are bullied
They feel helpless in making the world a better place
They have been assaulted in some way
For no understandable reason at all"
"63szpj5u8o2i","1","tearful","they were rejected by their crush
they have received news of that a family member or friend is ill or dead
they are experiencing overwhelming happiness or sadness
something caused them to relive powerful childhood memories
"
"ia9y1d0x3x7t","1","blah","They had a boring day
Nothing interesting happened or will happen soon in their life"
"1ply70vxn292","1",NA,NA
"mtmb7nh1k07f","1","upset","They failed a test
Their friend lied to them
They lost something valuable to them
"
"0wk103kezs00","1",NA,NA
"hr053hyuwem6","1","relieved","they just got back a test and did well.
they got a call and heard that a relative is no longer sick
a class that they were not ready for got cancelled
a practice got changed to a different day
they realize that they didn't lose their favorite sock
they finally finish all of their work for the day
it was supposed to rain all day but it stopped when they needed to go outside"
"a148vh04a7ry","1",NA,NA
"6wx67twfnuox","1","busy","They have a lot of things piling up at once
there is a lot on their plate
they are rushing from one thing to another
they over committed and have too much to do
they are a college student "
"656xmu29mv16","1","blank","they don't understand the professor
someone just broke big news to them
someone in the family dies
they are in deep trouble
they are in an awkward conversation
they are interacting with their crush
they just found out they are going to be a father/ mother
they are experiencing something new
"
"h05dt9u04ag6","1","bored","All of their friends are busy
They are tired of their set schedule
They have finished everything they were supposed to accomplish
They have finished something that they wanted to do 
They are unchallenged in their current situation
They must repeat something that they have already done
Their current task/situation is too easy for them
"
"aqgoay2w4h2m","1","sick","they have a virus
they have the flu
they have some other ailment that they recently contracted
they are being treated for an illness such as cancer
they are a pregnant woman dealing with morning sickness
they are hungover
they haven't been getting enough sleep
they ate too many sweets at one time
they ate something they are allergic to 
they are nervous
they have a difficult exam/meeting coming up
they fought with their closest friend
they are being bullied at school, which is affecting other aspects of their life
"
"barb4qdxq6t1","1","annoyed","Their significant other is pestering them
Someone they had is trying to talk to them
A small children is asking a lot of adult common sense questions
They don't understand the homework they have been assigned
People in conversation are ignoring them
People in conversation are speaking over them
The food they paid for at an eatery is subpar
Their significant other refuses to listen to their problems
"
"3y4g82qrfzgu","1","upset","their dog died
a family member died
they got yelled at
they recently ended a relationship
they were cheated on
they were accused of doing something they didn't do
a place/object that mattered to them was destroyed
they didn't get something they wanted
they made someone else upset
they got caught doing something bad and are being punished (like a child and its mother, or someone being sentenced to jail)
they feel as though their personal freedoms are being infringed on
someone else's actions prevented them from doing something they wanted to do
they hurt themselves in a way that will prevent them from doing something they were looking forward to
they discovered that people are spreading rumors about them/talking behind their back
they are lonely
nothing is going according to plan
they did not meet expectations that they/others set for themselves.
"
"rzv8pux6l1g8","1","blank","They could be taking a test and have forgotten the information.
They could have trouble processing their feelings and feel emotionless.

"
"u27jmgu8s0ev","1","sad","They broke up with a SO
An SO broke up with them
A family member passed away
They did not get a promotion they were anticipating
They disappointed a friend
They got a bad grade on an exam
They did not get into a class they wanted to
Were denied a job
Their romantic feelings were not returned
Their internet stopped working
They have a lot of homework on a weekend they were supposed to go out
Their close friend is sad and they cannot cheer them up
They injured themselves by accident
They are depressed or have anxiety
They feel lonely or do not have friends
Tickets sold out to a concert they wanted to attend
"
