responseID,ID,fluency,clean_response,elaboration,flexibility,originality,z_elaboration,z_flexibility,z_originality
97,zgtrcecvauk4,2,use stage prop,3.0,0.9088281868495969,0.7277555388614919,0.301561671679935,0.029387828554807184,-2.6130322961125194
817,zgtrcecvauk4,2,Leading team cheer,3.0,0.9512041542206296,0.8759622991796825,0.301561671679935,0.5225065632444198,-0.8210181560680256
50,zgtrcecvauk4,2,Talking large group,3.0,0.9490637816271781,0.8685379665503072,0.301561671679935,0.4975995725483526,-0.9107880763042566
44,hjr8vpd7fapz,7,'s attention,2.0,0.9570735463841299,0.9120474582764114,-0.42816067535688845,0.5908072397038049,-0.38470124847041326
681,hjr8vpd7fapz,7,scare people bad,3.0,0.9999870733955387,0.9975049274002934,0.301561671679935,1.090181424029799,0.6485916506768871
57,hjr8vpd7fapz,7,leading group march,3.0,0.9844363728443029,0.9214079525231582,0.301561671679935,0.9092217373229324,-0.2715205945517772
298,hjr8vpd7fapz,7,throw people,2.0,0.9492194851526059,0.8618529401836105,-0.42816067535688845,0.4994114562694582,-0.9916188140517878
1007,hjr8vpd7fapz,7,squad base camp,3.0,0.9773049103619991,0.9595334379281681,0.301561671679935,0.8262346582323441,0.18946653447766787
759,hjr8vpd7fapz,7,play musical scene,3.0,0.9928671298644295,0.9885065757260924,0.301561671679935,1.0073283881479067,0.5397897754949347
484,hjr8vpd7fapz,7,clearing area people,3.0,0.9074228581272675,0.980505220475728,0.301561671679935,0.013034363032466523,0.443042894870945
900,hjr8vpd7fapz,7,Speaking crowd,2.0,0.7848927427872247,0.9526293226885603,-0.42816067535688845,-1.4128185244972997,0.10598672487039014
438,xbnmcc5pxceu,7,speak crowd,2.0,0.7974084005106099,0.886667492588084,-0.42816067535688845,-1.2671768864828516,-0.6915783253978185
994,xbnmcc5pxceu,7,Announce things performance,3.0,0.8871886196314693,0.9021684202756213,0.301561671679935,-0.22242650555590474,-0.5041517765667349
61,xbnmcc5pxceu,7,wake lot people,3.0,0.9780857652005706,0.8943127482386707,0.301561671679935,0.8353212743938396,-0.5991371560429757
605,xbnmcc5pxceu,7,Shout people,2.0,0.7896307719258902,0.8738661981438949,-0.42816067535688845,-1.357683241960284,-0.8463627671170013
988,xbnmcc5pxceu,7,lead exrecise class,3.0,0.9416419280174688,0.9565799271486807,0.301561671679935,0.41123328316015667,0.15375471493413145
958,xbnmcc5pxceu,7,people excited hyped,3.0,0.9835434409572059,0.9038244808139275,0.301561671679935,0.8988309080476049,-0.48412783234824547
336,xbnmcc5pxceu,7,Yell students high school class,5.0,0.9821843018259735,0.9004280060608388,1.7610063657535817,0.8830149394635198,-0.5251956673833792
615,xbnmcc5pxceu,7,attention,1.0,0.9248858815232913,0.9368769044826677,-1.1578830223937118,0.21624728146577804,-0.0844806742161891
942,3kofmh9dg9xx,5,speak closed door ex police,5.0,0.9795351046670342,0.9183707774977358,1.7610063657535817,0.8521868821469459,-0.30824402457387584
107,3kofmh9dg9xx,5,summer camp,2.0,0.8874356015957112,0.8796900635472336,-0.42816067535688845,-0.21955243703891394,-0.7759445950303
835,3kofmh9dg9xx,5,school students parents car,4.0,0.946599249080326,0.780711557826924,1.0312840187167585,0.4689204120122837,-1.9727245626273608
480,3kofmh9dg9xx,5,announcement,1.0,0.9496108619880095,0.981199013717599,-1.1578830223937118,0.5039658124726151,0.45143176523712075
133,3kofmh9dg9xx,5,coaching team practice like track field,6.0,0.921698266659806,0.9890898761619237,2.490728712790405,0.17915378943061655,0.5468426428989565
179,3kofmh9dg9xx,5,pretend n't work,3.0,0.9733030592989198,0.9748534407734226,0.301561671679935,0.7796660993281079,0.37470546464034477
698,f8jryrdfkdx2,8,starting races,2.0,0.8758794863821658,0.988655324783386,-0.42816067535688845,-0.35402811430513415,0.5415883467167619
563,f8jryrdfkdx2,8,Speak crowds try convey interesting message,6.0,0.9605131673242978,0.9898012888696327,2.490728712790405,0.6308332646196855,0.5554445557191603
402,f8jryrdfkdx2,8,announce,1.0,0.929016245693808,0.5451197791093152,-1.1578830223937118,0.2643113158685606,-4.821338200991673
805,f8jryrdfkdx2,8,Alerting people danger,3.0,0.9423518506087347,0.9955373227331291,0.301561671679935,0.4194944781640945,0.6248007292775806
954,f8jryrdfkdx2,8,Making alarm sound,3.0,0.8946717620913469,0.9865994239551811,0.301561671679935,-0.13534701285647913,0.5167298089094264
68,f8jryrdfkdx2,8,hurt 's ear,3.0,0.9724364918287596,0.9987285416349273,0.301561671679935,0.7695820663037505,0.6633867518296012
617,f8jryrdfkdx2,8,yell mad people,3.0,0.817595714829163,0.9956658858390414,0.301561671679935,-1.0322620630314996,0.6263552258686144
261,f8jryrdfkdx2,8,shout instructions crew team crew,5.0,0.9647150124150279,0.9956294844836955,1.7610063657535817,0.6797291049520279,0.6259150857335992
645,f8jryrdfkdx2,8,talk people amusement park zoo public place,7.0,0.927602437039393,0.9947898982376118,3.2204510598272287,0.24785917145722353,0.6157633867048996
665,nbd4iho7n72m,5,Smash,1.0,0.8916803620109266,0.9430373317894625,-1.1578830223937118,-0.17015720160548278,-0.00999302723712285
713,nbd4iho7n72m,5,Alerting people impending danger,4.0,0.9613786623340824,0.833144951449469,1.0312840187167585,0.6409048176857969,-1.338736055082967
150,nbd4iho7n72m,5,Use instruct large group people,5.0,0.9839888359440117,0.9888717295025601,1.7610063657535817,0.9040138602244295,0.5442049636369327
523,nbd4iho7n72m,5,declare event beginning,3.0,0.9009024413192103,0.949150461177368,0.301561671679935,-0.06284212747653861,0.06392272586029972
389,nbd4iho7n72m,5,joke 'm bull,3.0,0.9528389585815353,0.9909443206275731,0.301561671679935,0.5415303804674324,0.569265309025902
707,nbd4iho7n72m,5,Speak,1.0,0.8946048216130205,0.9829775656010065,-1.1578830223937118,-0.13612598277786953,0.4729367904939057
367,63szpj5u8o2i,2,rally,1.0,0.8460018618550496,0.9694297871514675,-1.1578830223937118,-0.7017066999842,0.30912637796183984
158,63szpj5u8o2i,2,cheer sporting event,3.0,0.9093506665476376,0.9216217554447462,0.301561671679935,0.03546779660233283,-0.2689354367772872
603,63szpj5u8o2i,2,want assert dominance inferior,4.0,0.9748432118933248,0.9867672544482736,1.0312840187167585,0.7975884771686449,0.5187590997198238
308,ia9y1d0x3x7t,3,yell people m going find hide seek,7.0,0.9526914484407772,0.7962446551671639,3.2204510598272287,0.5398138411533532,-1.7849090404970864
323,ia9y1d0x3x7t,3,tell important message,3.0,0.9914751137081906,0.6475533837876591,0.301561671679935,0.9911298376907146,-3.582781554822341
614,ia9y1d0x3x7t,3,talk lot people,3.0,0.9788091056065824,0.9732593619582068,0.301561671679935,0.8437386092157052,0.35543096075753206
832,ia9y1d0x3x7t,3,announcement,1.0,0.9496108619880095,0.9869052025101268,-1.1578830223937118,0.5039658124726151,0.5204270727387463
1026,mtmb7nh1k07f,2,notify police presence,3.0,0.9931162771335721,0.6635249780402245,0.301561671679935,1.0102276537867356,-3.389664029830888
512,mtmb7nh1k07f,2,large charity dance competition,4.0,0.985892802496101,0.9162330407241697,1.0312840187167585,0.9261698518230884,-0.3340920663075926
436,mtmb7nh1k07f,2,attention,1.0,0.9248858815232913,0.9802365173207567,-1.1578830223937118,0.21624728146577804,0.43979392126036654
302,hr053hyuwem6,9,lead assembly,2.0,0.9996843308597293,0.9725261837209753,-0.42816067535688845,1.086658483423206,0.3465658741348235
455,hr053hyuwem6,9,screaming,1.0,0.6467839264867539,0.9903325689581433,-1.1578830223937118,-3.0199569326253615,0.561868428887233
77,hr053hyuwem6,9,leadership situation,2.0,0.9998768463877359,0.9959629726391293,-0.42816067535688845,1.0888987393859197,0.6299473949804354
608,hr053hyuwem6,9,Use weight,2.0,0.9297127137735179,0.9826758940897928,-0.42816067535688845,0.27241594402279656,0.4692891862106545
606,hr053hyuwem6,9,Hit people,2.0,0.9779123646094529,0.7984665018856548,-0.42816067535688845,0.8333034542615531,-1.7580439991993821
833,hr053hyuwem6,9,apart,1.0,0.9589708142759579,0.9939723874857276,-1.1578830223937118,0.6128852806366234,0.6058786093582413
784,hr053hyuwem6,9,Aggressively yell 's face,4.0,0.8523651785693678,0.8733135880478694,1.0312840187167585,-0.6276583447190683,-0.8530445480552185
542,hr053hyuwem6,9,projecting voice,2.0,0.7549808524701185,0.9969727856835298,-0.42816067535688845,-1.7608958527668297,0.6421573592930079
891,hr053hyuwem6,9,important announcement,2.0,0.9556179667140066,0.9881143072741813,-0.42816067535688845,0.5738690162318425,0.5350467353595937
131,hr053hyuwem6,9,direct people,2.0,0.9867899165747834,1.003237353048929,-0.42816067535688845,0.93660934823573,0.7179041961846222
213,6wx67twfnuox,4,Hitting head,2.0,0.9091405536765054,0.8055516972452705,-0.42816067535688845,0.03302276467544947,-1.6723746934123194
56,6wx67twfnuox,4,Starting organizing protest,3.0,0.9565685537604524,0.9244016358934799,0.301561671679935,0.5849307644499165,-0.2353230356893151
618,6wx67twfnuox,4,break 'm feeling bored figure science,6.0,0.8573283788097212,0.9736323163037224,2.490728712790405,-0.5699028013209653,0.3599404680115872
439,6wx67twfnuox,4,people excited pep rally,4.0,0.8649734756401917,0.7982205139352753,1.0312840187167585,-0.48093868534899126,-1.7610183161901478
564,6wx67twfnuox,4,Speak loudly group people,4.0,0.8649454955292929,0.981260460680758,1.0312840187167585,-0.48126428303416197,0.45217473962376376
72,656xmu29mv16,4,scream encourage sports team,4.0,0.9048710052409871,0.9813944994075293,1.0312840187167585,-0.01666092286811792,0.45379544365353985
559,656xmu29mv16,4,bark orders people,3.0,0.9886164888838247,0.853362672985919,0.301561671679935,0.9578647220179277,-1.0942772814412254
706,656xmu29mv16,4,Yell,1.0,0.6296422950378764,0.9766753128293598,-1.1578830223937118,-3.2194298918282778,0.396734287607543
294,656xmu29mv16,4,use speaker play music,4.0,0.9238538033836496,0.9648806376333995,1.0312840187167585,0.20423724139129915,0.25412119301580616
693,656xmu29mv16,4,'d use way rallying group 's attention,7.0,0.9829160452139578,0.885012820359236,3.2204510598272287,0.8915300577247958,-0.711585483133865
117,h05dt9u04ag6,10,remove batteries object,3.0,0.9292639179337432,0.9836004846560392,0.301561671679935,0.26719341695442406,0.48046869897314964
25,h05dt9u04ag6,10,intercom,1.0,0.8446612357392149,0.6777070296797921,-1.1578830223937118,-0.7173072371505592,-3.218184422433876
448,h05dt9u04ag6,10,scare bear away,3.0,0.9346839685896027,0.9899561924520592,0.301561671679935,0.3302652165423681,0.5573175432229417
388,h05dt9u04ag6,10,tell people latest sales store,5.0,0.9012478343410801,0.9880097583993315,1.7610063657535817,-0.05882287362862487,0.5337826023223805
880,h05dt9u04ag6,10,apart understand circuits,3.0,0.9154634190610803,0.8986334535309815,0.301561671679935,0.10660039774172572,-0.5468941614443302
348,h05dt9u04ag6,10,funny noises,2.0,0.8304041684395889,1.0062036328074893,-0.42816067535688845,-0.8832132311216159,0.7537704094346495
214,h05dt9u04ag6,10,Torturing criminal blasting ear,4.0,0.8443643735095148,0.9029484587726341,1.0312840187167585,-0.7207617500777839,-0.4947200879350901
585,h05dt9u04ag6,10,Shutting party policeman,3.0,0.8882802898839076,0.9928047645192617,0.301561671679935,-0.2097230066866697,0.5917605160833103
244,h05dt9u04ag6,10,directions,1.0,0.9807684250073766,0.9969067641860538,-1.1578830223937118,0.8665387283330542,0.6413590727859029
855,h05dt9u04ag6,10,loud,1.0,0.6286060755481573,0.9841075913050087,-1.1578830223937118,-3.2314881237774626,0.486600283548056
58,h05dt9u04ag6,10,organizing event,2.0,0.9797554601324845,0.9439969010342997,-0.42816067535688845,0.8547511046307273,0.0016094236322456437
216,aqgoay2w4h2m,2,Trying suicidal man come house,5.0,0.9844543148254793,1.0014745902853028,1.7610063657535817,0.9094305237555367,0.6965900820971144
471,aqgoay2w4h2m,2,Amplifying voice,2.0,0.706055215793272,1.0018444497439813,-0.42816067535688845,-2.330231482104281,0.7010621681096425
983,aqgoay2w4h2m,2,tour guide,2.0,0.8893230730816682,0.9964052545520307,-0.42816067535688845,-0.19758839447751417,0.63529516346349
